product_id,product_name,product_category,product_sub_category,product_container
1,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage & Organization,Large Box
2,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,Jumbo Drum
3,"Cardinal Slant-DÂ¨ Ring Binder, Heavy Gauge Vinyl",Office Supplies,Binders and Binder Accessories,Small Box
4,R380,Technology,Telephones and Communication,Small Box
5,Holmes HEPA Air Purifier,Office Supplies,Appliances,Medium Box
6,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Furniture,Office Furnishings,Small Pack
7,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Binders and Binder Accessories,Small Box
8,"SAFCO Mobile Desk Side File, Wire Frame",Office Supplies,Storage & Organization,Small Box
9,"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage & Organization,Large Box
10,Xerox 198,Office Supplies,Paper,Small Box
11,Xerox 1980,Office Supplies,Paper,Small Box
12,Advantus Map Pennant Flags and Round Head Tacks,Office Supplies,Rubber Bands,Wrap Bag
13,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Technology,Computer Peripherals,Small Pack
14,"Wilson Jones 1"" Hanging DublLockÂ¨ Ring Binders",Office Supplies,Binders and Binder Accessories,Small Box
15,Ultra Commercial Grade Dual Valve Door Closer,Furniture,Office Furnishings,Wrap Bag
16,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,Small Box
17,Hon 4-Shelf Metal Bookcases,Furniture,Bookcases,Jumbo Box
18,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Furniture,Tables,Large Box
19,g520,Technology,Telephones and Communication,Small Box
20,LX 788,Technology,Telephones and Communication,Small Box
21,Avery 52,Office Supplies,Labels,Small Box
22,Plymouth Boxed Rubber Bands by Plymouth,Office Supplies,Rubber Bands,Wrap Bag
23,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Office Supplies,Binders and Binder Accessories,Small Box
24,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Technology,Computer Peripherals,Small Pack
25,Newell 335,Office Supplies,Pens & Art Supplies,Wrap Bag
26,SANFORD Liquid AccentÂª Tank-Style Highlighters,Office Supplies,Pens & Art Supplies,Wrap Bag
27,Canon PC940 Copier,Technology,Copiers and Fax,Jumbo Drum
28,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage & Organization,Small Box
29,Col-EraseÂ¨ Pencils with Erasers,Office Supplies,Pens & Art Supplies,Wrap Bag
30,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Technology,Computer Peripherals,Small Pack
31,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Office Supplies,Paper,Small Box
32,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,Small Box
33,Accessory37,Technology,Telephones and Communication,Wrap Bag
34,Fuji 5.2GB DVD-RAM,Technology,Computer Peripherals,Small Pack
35,Bevis Steel Folding Chairs,Furniture,Chairs & Chairmats,Jumbo Drum
36,Avery Binder Labels,Office Supplies,Binders and Binder Accessories,Small Box
37,Hon Every-DayÂ¨ Chair Series Swivel Task Chairs,Furniture,Chairs & Chairmats,Jumbo Drum
38,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Office Supplies,Paper,Small Box
39,Global TroyÂª Executive Leather Low-Back Tilter,Furniture,Chairs & Chairmats,Jumbo Drum
40,XtraLifeÂ¨ ClearVueÂª Slant-DÂ¨ Ring Binders by Cardinal,Office Supplies,Binders and Binder Accessories,Small Box
41,Computer Printout Paper with Letter-Trim Perforations,Office Supplies,Paper,Small Box
42,6160,Technology,Telephones and Communication,Small Box
43,Avery 49,Office Supplies,Labels,Small Box
44,Hoover PortapowerÂª Portable Vacuum,Office Supplies,Appliances,Large Box
45,Timeport L7089,Technology,Telephones and Communication,Small Box
46,Avery 510,Office Supplies,Labels,Small Box
47,Xerox 1881,Office Supplies,Paper,Small Box
48,"Memorex 4.7GB DVD-RAM, 3/Pack",Technology,Computer Peripherals,Small Pack
49,Unpadded Memo Slips,Office Supplies,Paper,Wrap Bag
50,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Office Supplies,Paper,Wrap Bag
51,"Eldon ExpressionsÂª Desk Accessory, Wood Pencil Holder, Oak",Furniture,Office Furnishings,Small Box
52,Bell Sonecor JB700 Caller ID,Technology,Telephones and Communication,Medium Box
53,Avery Arch Ring Binders,Office Supplies,Binders and Binder Accessories,Small Box
54,APC 7 Outlet Network SurgeArrest Surge Protector,Office Supplies,Appliances,Small Box
55,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Furniture,Office Furnishings,Medium Box
56,Accessory4,Technology,Telephones and Communication,Wrap Bag
57,Personal CreationsÂª Ink Jet Cards and Labels,Office Supplies,Paper,Small Box
58,High Speed Automatic Electric Letter Opener,Office Supplies,"Scissors, Rulers and Trimmers",Medium Box
59,Xerox 1966,Office Supplies,Paper,Small Box
60,Xerox 213,Office Supplies,Paper,Small Box
61,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Office Supplies,Pens & Art Supplies,Small Pack
62,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,Small Box
63,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,Wrap Bag
64,Crate-A-FilesÂª,Office Supplies,Storage & Organization,Small Box
65,"80 Minute CD-R Spindle, 100/Pack - Staples",Technology,Computer Peripherals,Small Pack
66,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,Bookcases,Jumbo Box
67,12-1/2 Diameter Round Wall Clock,Furniture,Office Furnishings,Small Box
68,SAFCO Arco Folding Chair,Furniture,Chairs & Chairmats,Large Box
69,"#10 White Business Envelopes,4 1/8 x 9 1/2",Office Supplies,Envelopes,Small Box
70,3M Office Air Cleaner,Office Supplies,Appliances,Medium Box
71,"Global Leather and Oak Executive Chair, Black",Furniture,Chairs & Chairmats,Jumbo Drum
72,Xerox 1936,Office Supplies,Paper,Small Box
73,Xerox 214,Office Supplies,Paper,Small Box
74,Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage & Organization,Large Box
75,StaplesÂ¨ General Use 3-Ring Binders,Office Supplies,Binders and Binder Accessories,Small Box
76,Xerox 1904,Office Supplies,Paper,Small Box
77,Luxo Professional Combination Clamp-On Lamps,Furniture,Office Furnishings,Large Box
78,Xerox 217,Office Supplies,Paper,Small Box
