row_id,order_id,customer_id,product_id,region_id,order_date_id,ship_date_id,order_priority,ship_mode,quantity,unit_price,discount,sales,profit,shipping_cost,product_base_margin,shipping_days,profit_margin_pct,is_loss_making
1,3,1,1,1,20101013,20101020,Low,Regular Air,6,38.94,0.04,261.54,-213.25,35.0,0.8,7,-81.536285080676,True
49,293,2,2,1,20121001,20121002,High,Delivery Truck,49,208.16,0.07,10123.02,457.81,68.02,0.58,1,4.522464639998735,False
50,293,2,3,1,20121001,20121003,High,Regular Air,27,8.69,0.01,244.57,46.71,2.99,0.39,2,19.098826511837103,False
80,483,3,4,1,20110710,20110712,High,Regular Air,30,195.99,0.08,4965.7595,1198.97,3.99,0.58,2,24.144745632566377,False
85,515,4,5,1,20100828,20100830,Not Specified,Regular Air,19,21.78,0.08,394.27,30.94,5.94,0.5,2,7.847414208537297,False
86,515,4,6,1,20100828,20100830,Not Specified,Regular Air,21,6.64,0.05,146.69,4.43,4.95,0.37,2,3.019974095030336,False
97,613,5,7,1,20110617,20110617,High,Regular Air,12,7.3,0.03,93.54,-54.04,7.72,0.38,0,-57.77207611716912,True
98,613,5,8,1,20110617,20110618,High,Regular Air,22,42.76,0.09,905.08,127.7,6.22,0.39,1,14.109250011048747,False
103,643,6,9,1,20110324,20110325,High,Express Air,21,138.14,0.07,2781.82,-695.26,35.0,0.39,1,-24.99299020066,True
107,678,7,10,1,20100226,20100226,Low,Regular Air,44,4.98,0.07,228.41,-226.36,8.33,0.38,0,-99.10249113436365,True
127,807,8,11,1,20101123,20101124,Medium,Regular Air,45,4.28,0.01,196.85,-166.85,6.18,0.4,1,-84.75996951993905,True
128,807,8,12,1,20101123,20101124,Medium,Regular Air,32,3.95,0.04,124.56,-14.33,2.0,0.53,1,-11.504495825305074,True
134,868,9,5,1,20120608,20120609,Not Specified,Regular Air,32,21.78,0.0,716.84,134.72,5.94,0.5,1,18.79359410747168,False
135,868,9,13,1,20120608,20120610,Not Specified,Regular Air,31,47.98,0.04,1474.33,114.46,3.61,0.71,2,7.763526483216105,False
149,933,10,14,1,20120804,20120804,Not Specified,Regular Air,15,5.28,0.02,80.61,-4.72,2.99,0.37,0,-5.855352933879171,True
160,995,8,15,1,20110530,20110531,Medium,Regular Air,46,39.89,0.03,1815.49,782.91,3.04,0.53,1,43.123894926438595,False
161,998,11,16,1,20091125,20091126,Not Specified,Regular Air,16,15.74,0.07,248.26,93.8,1.39,0.4,1,37.78296946749376,False
175,1154,12,17,1,20120214,20120216,Critical,Delivery Truck,44,100.98,0.04,4462.23,440.72,26.22,0.6,2,9.8766760117699,False
176,1154,12,18,1,20120214,20120216,Critical,Regular Air,11,71.37,0.25,663.784,-481.04,69.0,0.68,2,-72.46935750183795,True
203,1344,13,19,1,20120415,20120422,Low,Regular Air,15,65.99,0.06,834.904,-11.68,5.26,0.59,7,-1.3989632340963751,True
204,1344,13,20,1,20120415,20120419,Low,Regular Air,18,155.99,0.01,2480.9205,313.58,8.99,0.58,4,12.639663383006427,False
213,1412,4,21,1,20100312,20100314,Not Specified,Express Air,13,3.69,0.1,59.03,26.92,0.5,0.38,2,45.603930204980514,False
214,1412,4,22,1,20100312,20100314,Not Specified,Regular Air,21,4.71,0.05,97.48,-5.77,0.7,0.8,2,-5.9191629052113255,True
229,1539,14,23,1,20110309,20110311,Low,Regular Air,33,15.99,0.1,511.83,-172.88,13.18,0.37,2,-33.776839966395094,True
230,1539,14,24,1,20110309,20110314,Low,Regular Air,38,4.89,0.05,184.99,-144.55,4.93,0.66,5,-78.13935888426403,True
231,1540,15,25,1,20120804,20120806,High,Regular Air,30,2.88,0.09,80.9,5.76,0.7,0.56,2,7.119901112484548,False
249,1702,16,26,1,20110506,20110507,High,Regular Air,23,2.84,0.06,67.24,4.9,0.93,0.54,1,7.287328970850686,False
250,1761,14,27,1,20101223,20101225,High,Delivery Truck,25,449.99,0.01,12028.23,-547.61,49.0,0.38,2,-4.552706424802319,True
256,1792,4,28,1,20101108,20101113,Low,Regular Air,28,13.48,0.04,370.48,-5.45,4.51,0.59,5,-1.4710645648887928,True
330,2275,17,29,1,20121021,20121022,Not Specified,Regular Air,49,6.08,0.08,278.0,41.67,1.17,0.56,1,14.989208633093526,False
331,2277,15,30,1,20110101,20110102,Not Specified,Regular Air,10,5.98,0.01,66.54,-46.03,4.38,0.75,1,-69.17643522693116,True
332,2277,15,31,1,20110101,20110103,Not Specified,Regular Air,21,40.99,0.06,845.32,33.67,19.99,0.36,2,3.983106989069228,False
362,2532,18,32,1,20111010,20111011,High,Regular Air,39,7.31,0.03,282.07,140.01,0.49,0.38,1,49.636615024639276,False
363,2532,18,33,1,20111010,20111011,High,Regular Air,24,20.99,0.01,426.037,-78.96,2.5,0.81,1,-18.53360154165014,True
381,2631,19,34,1,20100923,20100925,Low,Regular Air,27,40.96,0.08,1078.49,252.66,1.99,0.55,2,23.427199139537688,False
406,2757,20,35,1,20110719,20110719,Critical,Delivery Truck,39,95.95,0.07,3554.46,-1766.01,74.35,0.57,0,-49.684340237335626,True
413,2791,21,36,1,20091009,20091009,High,Regular Air,47,3.89,0.0,191.67,-236.27,7.01,0.37,0,-123.2691605363385,True
414,2791,21,37,1,20091009,20091011,High,Delivery Truck,49,120.98,0.09,5586.33,80.44,30.0,0.64,2,1.4399435765520476,False
415,2791,21,38,1,20091009,20091010,High,Regular Air,18,30.98,0.1,507.64,118.94,5.76,0.4,1,23.42998975652037,False
440,2976,22,39,1,20101209,20101211,Not Specified,Delivery Truck,30,500.98,0.09,14223.82,3424.22,26.0,0.6,2,24.07384232927582,False
