year,month_name,sales,profit,profit_mom_change
2009,Jan,516302.96,62326.4,
2009,Feb,332480.64,30422.68,-31903.72
2009,Mar,411628.73,22802.96,-7619.72
2009,Apr,393276.48,39132.73,16329.77
2009,May,230145.54,18035.35,-21097.38
2009,Jun,263456.07,34640.55,16605.2
2009,Jul,380503.97,41749.43,7108.88
2009,Aug,329754.72,14682.84,-27066.59
2009,Sep,325292.31,46652.05,31969.21
2009,Oct,361555.27,55228.01,8575.96
2009,Nov,248933.43,16222.22,-39005.79
2009,Dec,415809.35,52643.51,36421.29
2010,Jan,336526.68,48177.27,-4466.24
2010,Feb,271580.51,25999.13,-22178.14
2010,Mar,217808.01,1116.68,-24882.45
2010,Apr,266968.59,17306.51,16189.83
2010,May,283534.28,42636.66,25330.15
2010,Jun,293080.66,36130.26,-6506.4
2010,Jul,229885.5,15918.45,-20211.81
2010,Aug,207937.01,21862.78,5944.33
2010,Sep,418343.28,50022.73,28159.95
2010,Oct,365251.98,48596.75,-1425.98
2010,Nov,290670.35,23345.07,-25251.68
2010,Dec,368093.95,32759.19,9414.12
2011,Jan,251467.23,17704.56,-15054.63
2011,Feb,299890.14,20848.88,3144.32
2011,Mar,296035.87,43243.56,22394.68
2011,Apr,288213.4,36106.24,-7137.32
2011,May,262628.5,25585.24,-10521.0
2011,Jun,197740.85,17478.47,-8106.77
2011,Jul,287905.19,36903.84,19425.37
2011,Aug,274578.48,24378.93,-12524.91
2011,Sep,276049.8,33098.01,8719.08
2011,Oct,305660.45,49054.12,15956.11
2011,Nov,367769.5,39560.02,-9494.1
2011,Dec,328877.31,37494.12,-2065.9
2012,Jan,340626.51,43312.52,5818.4
2012,Feb,276132.5,25158.43,-18154.09
2012,Mar,348208.33,37636.13,12477.7
2012,Apr,268024.97,31361.04,-6275.09
2012,May,384588.06,29371.44,-1989.6
2012,Jun,276580.94,30454.28,1082.84
2012,Jul,242809.7,26393.59,-4060.69
2012,Aug,302745.12,13660.95,-12732.64
2012,Sep,318271.57,34579.9,20918.95
2012,Oct,351246.73,21137.51,-13442.39
2012,Nov,256020.1,27543.05,6405.54
2012,Dec,354709.34,21292.94,-6250.11
